2026-04-11T11:25:11.409253076Z [inf]  Starting Container
2026-04-11T11:25:16.319339714Z [err]      return _get_module_details(pkg_main_name, error)
2026-04-11T11:25:16.319346185Z [err]    File "/usr/local/lib/python3.10/runpy.py", line 110, in _get_module_details
2026-04-11T11:25:17.299582942Z [inf]   * Debug mode: off
2026-04-11T11:25:17.299591973Z [err]  [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
2026-04-11T11:25:17.299597629Z [err]   * Running on all addresses (0.0.0.0)
2026-04-11T11:25:17.299603505Z [err]   * Running on http://127.0.0.1:5000
2026-04-11T11:25:17.299612595Z [err]   * Running on http://10.228.106.92:5000
2026-04-11T11:25:17.299618334Z [err]  [33mPress CTRL+C to quit[0m
2026-04-11T11:25:17.484641731Z [err]  Traceback (most recent call last):
2026-04-11T11:25:17.484649088Z [err]    File "/usr/local/lib/python3.10/runpy.py", line 187, in _run_module_as_main
2026-04-11T11:25:17.484654062Z [err]      mod_name, mod_spec, code = _get_module_details(mod_name, _Error)
2026-04-11T11:25:17.484658702Z [err]    File "/usr/local/lib/python3.10/runpy.py", line 146, in _get_module_details
2026-04-11T11:25:17.484664447Z [err]      return _get_module_details(pkg_main_name, error)
2026-04-11T11:25:17.484669266Z [err]    File "/usr/local/lib/python3.10/runpy.py", line 110, in _get_module_details
2026-04-11T11:25:17.484674775Z [err]      __import__(pkg_name)
2026-04-11T11:25:17.484680945Z [err]    File "/app/devgagan/__init__.py", line 53, in <module>
2026-04-11T11:25:17.484685324Z [err]      sex = TelegramClient('sexrepo', API_ID, API_HASH).start(bot_token=BOT_TOKEN)
2026-04-11T11:25:17.484689625Z [err]  NameError: name 'TelegramClient' is not defined
2026-04-11T11:25:18.632138678Z [inf]   * Debug mode: off
2026-04-11T11:25:18.635686694Z [err]  [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
2026-04-11T11:25:18.635698283Z [err]   * Running on all addresses (0.0.0.0)
2026-04-11T11:25:18.635705113Z [err]   * Running on http://127.0.0.1:5000
2026-04-11T11:25:18.635711106Z [err]   * Running on http://10.228.106.92:5000
2026-04-11T11:25:18.635717344Z [err]  [33mPress CTRL+C to quit[0m
2026-04-11T11:25:19.283464366Z [err]  Traceback (most recent call last):
2026-04-11T11:25:19.283471174Z [err]    File "/usr/local/lib/python3.10/runpy.py", line 187, in _run_module_as_main
2026-04-11T11:25:19.283477108Z [err]      mod_name, mod_spec, code = _get_module_details(mod_name, _Error)
2026-04-11T11:25:19.283482831Z [err]    File "/usr/local/lib/python3.10/runpy.py", line 146, in _get_module_details
2026-04-11T11:25:19.283488810Z [err]      return _get_module_details(pkg_main_name, error)
2026-04-11T11:25:19.283494221Z [err]    File "/usr/local/lib/python3.10/runpy.py", line 110, in _get_module_details
2026-04-11T11:25:19.283500416Z [err]      __import__(pkg_name)
2026-04-11T11:25:19.283507299Z [err]    File "/app/devgagan/__init__.py", line 53, in <module>
2026-04-11T11:25:19.283513210Z [err]      sex = TelegramClient('sexrepo', API_ID, API_HASH).start(bot_token=BOT_TOKEN)
2026-04-11T11:25:19.283518524Z [err]  NameError: name 'TelegramClient' is not defined
2026-04-11T11:25:20.314677552Z [inf]   * Debug mode: off
2026-04-11T11:25:20.314687748Z [err]  [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
2026-04-11T11:25:20.314697815Z [err]   * Running on all addresses (0.0.0.0)
2026-04-11T11:25:20.314703769Z [err]   * Running on http://127.0.0.1:5000
2026-04-11T11:25:20.314709672Z [err]   * Running on http://10.228.106.92:5000
2026-04-11T11:25:20.314717111Z [err]  [33mPress CTRL+C to quit[0m
2026-04-11T11:25:21.324348928Z [err]      return _get_module_details(pkg_main_name, error)
2026-04-11T11:25:21.324360561Z [err]    File "/usr/local/lib/python3.10/runpy.py", line 110, in _get_module_details
2026-04-11T11:25:21.324368013Z [err]      __import__(pkg_name)
2026-04-11T11:25:21.324375923Z [err]    File "/app/devgagan/__init__.py", line 53, in <module>
2026-04-11T11:25:21.324379866Z [err]  Traceback (most recent call last):
2026-04-11T11:25:21.324383792Z [err]      sex = TelegramClient('sexrepo', API_ID, API_HASH).start(bot_token=BOT_TOKEN)
2026-04-11T11:25:21.324391621Z [err]  NameError: name 'TelegramClient' is not defined
2026-04-11T11:25:21.324395810Z [err]    File "/usr/local/lib/python3.10/runpy.py", line 187, in _run_module_as_main
2026-04-11T11:25:21.324403969Z [err]      mod_name, mod_spec, code = _get_module_details(mod_name, _Error)
2026-04-11T11:25:21.324411349Z [err]    File "/usr/local/lib/python3.10/runpy.py", line 146, in _get_module_details
2026-04-11T11:25:22.281307855Z [err]   * Running on all addresses (0.0.0.0)
2026-04-11T11:25:22.281321743Z [err]   * Running on http://127.0.0.1:5000
2026-04-11T11:25:22.281328977Z [err]   * Running on http://10.228.106.92:5000
2026-04-11T11:25:22.281335359Z [err]  [33mPress CTRL+C to quit[0m
2026-04-11T11:25:22.281763148Z [inf]   * Debug mode: off
2026-04-11T11:25:22.281769150Z [err]  [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
2026-04-11T11:25:22.698888636Z [err]  Traceback (most recent call last):
2026-04-11T11:25:22.698899444Z [err]    File "/usr/local/lib/python3.10/runpy.py", line 187, in _run_module_as_main
2026-04-11T11:25:22.698906500Z [err]      mod_name, mod_spec, code = _get_module_details(mod_name, _Error)
2026-04-11T11:25:22.698913199Z [err]    File "/usr/local/lib/python3.10/runpy.py", line 146, in _get_module_details
2026-04-11T11:25:22.698920663Z [err]      return _get_module_details(pkg_main_name, error)
2026-04-11T11:25:22.698926868Z [err]    File "/usr/local/lib/python3.10/runpy.py", line 110, in _get_module_details
2026-04-11T11:25:22.698933092Z [err]      __import__(pkg_name)
2026-04-11T11:25:22.698939154Z [err]    File "/app/devgagan/__init__.py", line 53, in <module>
2026-04-11T11:25:22.698945137Z [err]      sex = TelegramClient('sexrepo', API_ID, API_HASH).start(bot_token=BOT_TOKEN)
2026-04-11T11:25:22.698954180Z [err]  NameError: name 'TelegramClient' is not defined
2026-04-11T11:25:24.412741822Z [err]  [33mPress CTRL+C to quit[0m
2026-04-11T11:25:24.412840763Z [err]   * Running on http://127.0.0.1:5000
2026-04-11T11:25:24.412853184Z [err]   * Running on http://10.228.106.92:5000
2026-04-11T11:25:24.412856785Z [inf]   * Debug mode: off
2026-04-11T11:25:24.412861011Z [err]  [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
2026-04-11T11:25:24.412869022Z [err]   * Running on all addresses (0.0.0.0)
2026-04-11T11:25:25.293408302Z [err]    File "/usr/local/lib/python3.10/runpy.py", line 146, in _get_module_details
2026-04-11T11:25:25.293423549Z [err]      return _get_module_details(pkg_main_name, error)
2026-04-11T11:25:25.293433680Z [err]    File "/usr/local/lib/python3.10/runpy.py", line 110, in _get_module_details
2026-04-11T11:25:25.293442415Z [err]      __import__(pkg_name)
2026-04-11T11:25:25.293451053Z [err]    File "/app/devgagan/__init__.py", line 53, in <module>
2026-04-11T11:25:25.293458505Z [err]      sex = TelegramClient('sexrepo', API_ID, API_HASH).start(bot_token=BOT_TOKEN)
2026-04-11T11:25:25.293467257Z [err]  NameError: name 'TelegramClient' is not defined
2026-04-11T11:25:25.293476271Z [err]  Traceback (most recent call last):
2026-04-11T11:25:25.293482226Z [err]    File "/usr/local/lib/python3.10/runpy.py", line 187, in _run_module_as_main
2026-04-11T11:25:25.293488225Z [err]      mod_name, mod_spec, code = _get_module_details(mod_name, _Error)
2026-04-11T11:25:26.347939744Z [inf]   * Debug mode: off
2026-04-11T11:25:26.347944191Z [err]  [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
2026-04-11T11:25:26.347948311Z [err]   * Running on all addresses (0.0.0.0)
2026-04-11T11:25:26.347959354Z [err]   * Running on http://127.0.0.1:5000
2026-04-11T11:25:26.347963787Z [err]   * Running on http://10.228.106.92:5000
2026-04-11T11:25:26.347968422Z [err]  [33mPress CTRL+C to quit[0m
2026-04-11T11:25:27.293001122Z [err]  Traceback (most recent call last):
2026-04-11T11:25:27.293006406Z [err]    File "/usr/local/lib/python3.10/runpy.py", line 187, in _run_module_as_main
2026-04-11T11:25:27.293011159Z [err]      mod_name, mod_spec, code = _get_module_details(mod_name, _Error)
2026-04-11T11:25:27.293016660Z [err]    File "/usr/local/lib/python3.10/runpy.py", line 146, in _get_module_details
2026-04-11T11:25:27.293023533Z [err]      return _get_module_details(pkg_main_name, error)
2026-04-11T11:25:27.293029102Z [err]    File "/usr/local/lib/python3.10/runpy.py", line 110, in _get_module_details
2026-04-11T11:25:27.293034712Z [err]      __import__(pkg_name)
2026-04-11T11:25:27.293039888Z [err]    File "/app/devgagan/__init__.py", line 53, in <module>
2026-04-11T11:25:27.293046243Z [err]      sex = TelegramClient('sexrepo', API_ID, API_HASH).start(bot_token=BOT_TOKEN)
2026-04-11T11:25:27.293051988Z [err]  NameError: name 'TelegramClient' is not defined
2026-04-11T11:25:28.440684548Z [inf]   * Debug mode: off
2026-04-11T11:25:28.440691371Z [err]  [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
2026-04-11T11:25:28.440699610Z [err]   * Running on all addresses (0.0.0.0)
2026-04-11T11:25:28.440706266Z [err]   * Running on http://127.0.0.1:5000
2026-04-11T11:25:28.440712648Z [err]   * Running on http://10.228.106.92:5000
2026-04-11T11:25:28.440719682Z [err]  [33mPress CTRL+C to quit[0m
2026-04-11T11:25:28.624202157Z [err]  Traceback (most recent call last):
2026-04-11T11:25:28.624209839Z [err]    File "/usr/local/lib/python3.10/runpy.py", line 187, in _run_module_as_main
2026-04-11T11:25:28.624216013Z [err]      mod_name, mod_spec, code = _get_module_details(mod_name, _Error)
2026-04-11T11:25:28.624225030Z [err]    File "/usr/local/lib/python3.10/runpy.py", line 146, in _get_module_details
2026-04-11T11:25:28.624231502Z [err]      return _get_module_details(pkg_main_name, error)
2026-04-11T11:25:28.624237407Z [err]    File "/usr/local/lib/python3.10/runpy.py", line 110, in _get_module_details
2026-04-11T11:25:28.624243536Z [err]      __import__(pkg_name)
2026-04-11T11:25:28.624249320Z [err]    File "/app/devgagan/__init__.py", line 53, in <module>
2026-04-11T11:25:28.624255900Z [err]      sex = TelegramClient('sexrepo', API_ID, API_HASH).start(bot_token=BOT_TOKEN)
2026-04-11T11:25:28.624263145Z [err]  NameError: name 'TelegramClient' is not defined
2026-04-11T11:25:30.412624109Z [inf]   * Debug mode: off
2026-04-11T11:25:30.412636918Z [err]  [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
2026-04-11T11:25:30.412644643Z [err]   * Running on all addresses (0.0.0.0)
2026-04-11T11:25:30.412652239Z [err]   * Running on http://127.0.0.1:5000
2026-04-11T11:25:30.412659966Z [err]   * Running on http://10.228.106.92:5000
2026-04-11T11:25:30.412667178Z [err]  [33mPress CTRL+C to quit[0m
2026-04-11T11:25:30.497293622Z [err]  Traceback (most recent call last):
2026-04-11T11:25:30.497300312Z [err]    File "/usr/local/lib/python3.10/runpy.py", line 187, in _run_module_as_main
2026-04-11T11:25:30.497307243Z [err]      mod_name, mod_spec, code = _get_module_details(mod_name, _Error)
2026-04-11T11:25:30.497313195Z [err]    File "/usr/local/lib/python3.10/runpy.py", line 146, in _get_module_details
2026-04-11T11:25:30.497319039Z [err]      return _get_module_details(pkg_main_name, error)
2026-04-11T11:25:30.497325120Z [err]    File "/usr/local/lib/python3.10/runpy.py", line 110, in _get_module_details
2026-04-11T11:25:30.497331128Z [err]      __import__(pkg_name)
2026-04-11T11:25:30.497337719Z [err]    File "/app/devgagan/__init__.py", line 53, in <module>
2026-04-11T11:25:30.497343187Z [err]      sex = TelegramClient('sexrepo', API_ID, API_HASH).start(bot_token=BOT_TOKEN)
2026-04-11T11:25:30.497348668Z [err]  NameError: name 'TelegramClient' is not defined
